波士頓塞爾蒂克,Brad Stevens,東區聯盟,2,73.1%
12月 18日,鳳凰城太陽,120,99
12月 15日,芝加哥公牛,106,109
12月 14日,明尼蘇達灰狼,124,117
12月 12日,多倫多暴龍,112,92
115.8
洛杉磯湖人,Frank Vogel,西區聯盟,1,82.8%
Anthony,Davis,前鋒-中鋒,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203076.png
LeBron,James,前鋒,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2544.png
Danny,Green,後衛,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201980.png
Kentavious,Caldwell-Pope,後衛,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203484.png
Avery,Bradley,後衛,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202340.png
12月 23日,丹佛金塊,10:30,0
12月 20日,密爾瓦基公鹿,104,111
12月 18日,印第安納溜馬,102,105
12月 16日,雅特蘭大老鷹,101,96
12月 14日,邁阿密熱火,113,110
12月 12日,奧蘭多魔術,96,87
103.2
鳳凰城太陽,Monty Williams,西區聯盟,11,39.3%
Devin,Booker,後衛,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626164.png
Kelly,Oubre Jr.,前鋒-後衛,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626162.png
Ricky,Rubio,後衛,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201937.png
Deandre,Ayton,中鋒,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629028.png
Dario,Saric,前鋒,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203967.png
12月 22日,休士頓火箭,10:00,0
12月 21日,奧克拉荷馬城雷霆,108,126
12月 18日,洛杉磯快艇,99,120
12月 17日,波特蘭拓荒者,110,111
12月 15日,聖安東尼奧馬刺,119,121
12月 12日,曼菲斯灰熊,108,115
108.8
沙加緬度國王,Luke Walton,西區聯盟,9,42.9%
Harrison,Barnes,前鋒,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203084.png
Buddy,Hield,後衛,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627741.png
De'Aaron,Fox,後衛,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628368.png
Richaun,Holmes,前鋒,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626158.png
Bogdan,Bogdanovic,後衛,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203992.png
12月 22日,曼菲斯灰熊,9:00,0
